Wall time,Step,Value
1555905713.4630983,12000,-1.141230821609497
1555905719.8617675,14000,-1.1744500398635864
1555905745.8472207,22000,-1.2166666984558105
1555905752.6987617,24000,-1.159250020980835
1555905772.4458454,30000,-1.1983333826065063
1555905779.088626,32000,-1.0000001192092896
1555905799.5947816,38000,-0.9883334040641785
1555905805.9591079,40000,-1.2016667127609253
1555905812.2753901,42000,-1.1278125047683716
1555905837.9886875,50000,-1.0000001192092896
1555905895.036142,68000,-1.1189000606536865
1555905913.8183458,74000,-1.0000001192092896
1555905939.0997202,82000,-1.0529167652130127
1555905951.815008,86000,-1.002500057220459
1555905964.4674296,90000,-1.1170834302902222
1555905970.7608457,92000,-0.8008334040641785
1555905983.4529486,96000,-1.0000001192092896
1555905996.234436,100000,-1.152000069618225
1555906021.5572977,108000,-1.006357192993164
1555906027.8998754,110000,-1.0000001192092896
1555906033.9970765,112000,-1.0000001192092896
1555906040.341115,114000,-0.784166693687439
1555906046.6204522,116000,-1.0000001192092896
1555906084.5430143,128000,-1.0000001192092896
1555906097.2114143,132000,-1.1458333730697632
1555906103.4767709,134000,-1.1868125200271606
1555906109.77638,136000,-1.0262000560760498
1555906116.0525246,138000,-1.0000001192092896
1555906134.8422444,144000,-1.0037500858306885
1555906141.200041,146000,-1.0012500286102295
1555906147.4864984,148000,-1.0000001192092896
1555906154.011338,150000,-1.033928632736206
1555906185.5648806,160000,-0.7150000333786011
1555906217.0043926,170000,-0.7658333778381348
1555906235.5427666,176000,-1.0000001192092896
1555906241.86767,178000,-1.0000001192092896
1555906279.6711104,190000,-1.0000001192092896
1555906329.931044,206000,-1.0000001192092896
1555906348.8337944,212000,-1.0000001192092896
1555906355.0782795,214000,-1.0104167461395264
1555906399.4696195,228000,-1.102000117301941
1555906418.2407842,234000,-1.0630000829696655
1555906430.8398206,238000,-0.7989286184310913
1555906474.7184505,252000,-0.6985000371932983
1555906480.971921,254000,-1.0000001192092896
1555906499.829176,260000,-1.0000001192092896
1555906506.1319532,262000,-1.0173333883285522
1555906550.1373875,276000,-0.6954167485237122
1555906562.4891133,280000,-1.0000001192092896
1555906574.99667,284000,-1.0145000219345093
1555906581.2486238,286000,-1.0000001192092896
1555906587.595474,288000,-1.0000001192092896
1555906631.6023924,302000,-1.0000001192092896
1555906662.78236,312000,-0.6996667385101318
1555906675.0379388,316000,-0.7041667103767395
1555906681.2840111,318000,-1.1605000495910645
1555906687.4980092,320000,-1.0812500715255737
1555906706.1855283,326000,-1.0000001192092896
1555906724.8713913,332000,-1.0000001192092896
1555906737.3852272,336000,-0.6891667246818542
1555906743.605238,338000,-1.0000001192092896
1555906762.3144197,344000,-1.0000001192092896
1555906799.7126822,356000,-1.0000001192092896
1555906805.9509947,358000,-1.0008333921432495
1555906818.4873059,362000,-0.7946429252624512
1555906837.1945324,368000,-1.0000001192092896
1555906849.7948644,372000,-1.0512501001358032
1555906856.0553017,374000,-1.3358334302902222
